id,transaction,datetime,name,value,source,location,created_at
27,logging,2025-01-15T11:35:00Z,pressure,1013.25,sensor-04,Warehouse Zone 3,2026-01-24T12:24:56-05:00
28,logging,2025-01-15T11:36:00Z,test_location_verify,21,sensor-03,"Building B, Room 205",2026-01-24T12:24:56-05:00
29,logging,2025-01-15T11:40:00Z,voltage,12.5,sensor-05,,2026-01-24T12:24:56-05:00
30,set_location,2025-01-15T11:45:00Z,location,Test Location,sensor-06,Test Location,2026-01-24T12:24:56-05:00
31,logging,2026-01-24T17:33:41Z,temperature,0,temp-study,,2026-01-24T12:33:43-05:00
32,logging,2026-01-24T17:34:17Z,temperature,0,temp-study,,2026-01-24T12:34:18-05:00
33,logging,2026-01-24T17:34:56Z,temperature,0,temp-study,,2026-01-24T12:34:58-05:00
34,logging,2026-01-24T17:35:36Z,temperature,0,temp-study,,2026-01-24T12:35:38-05:00
35,logging,2026-01-24T17:36:12Z,temperature,0,temp-study,,2026-01-24T12:36:13-05:00
36,logging,2026-01-24T17:36:51Z,temperature,0,temp-study,,2026-01-24T12:36:53-05:00
37,logging,2026-01-24T17:37:27Z,temperature,0,temp-study,,2026-01-24T12:37:28-05:00
38,logging,2026-01-24T17:38:02Z,temperature,0,temp-study,,2026-01-24T12:38:04-05:00
39,logging,2026-01-24T17:38:59Z,temperature,0,arduino-r4-wifi-5ED2C4,,2026-01-24T12:39:00-05:00
40,logging,2026-01-24T17:39:39Z,temperature,0,arduino-r4-wifi-5ED2C4,,2026-01-24T12:39:39-05:00
41,logging,2026-01-24T17:40:19Z,temperature,0,arduino-r4-wifi-5ED2C4,,2026-01-24T12:40:19-05:00
42,logging,2026-01-24T17:40:54Z,temperature,0,arduino-r4-wifi-5ED2C4,,2026-01-24T12:40:55-05:00
43,set_location,2026-01-24T17:41:09Z,location,study,arduino-r4-wifi-5ED2C4,study,2026-01-24T12:41:09-05:00
44,logging,2026-01-24T17:41:30Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T12:41:30-05:00
45,logging,2026-01-24T17:42:05Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T12:42:06-05:00
46,logging,2026-01-24T17:42:42Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T12:42:43-05:00
47,logging,2026-01-24T17:43:18Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T12:43:18-05:00
48,logging,2026-01-24T17:43:53Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T12:43:54-05:00
49,logging,2026-01-24T17:44:29Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T12:44:29-05:00
50,logging,2026-01-24T17:45:04Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T12:45:05-05:00
51,logging,2026-01-24T17:45:44Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T12:45:45-05:00
52,logging,2026-01-24T17:46:19Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T12:46:20-05:00
53,logging,2026-01-24T17:46:59Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T12:47:00-05:00
54,logging,2026-01-24T17:47:39Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T12:47:40-05:00
55,logging,2026-01-24T17:48:19Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T12:48:19-05:00
56,logging,2026-01-24T17:48:58Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T12:48:59-05:00
57,logging,2026-01-24T17:49:57Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T12:49:58-05:00
58,logging,2026-01-24T17:50:49Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T12:50:50-05:00
59,logging,2026-01-24T17:51:25Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T12:51:26-05:00
60,logging,2026-01-24T17:52:04Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T12:52:05-05:00
61,logging,2026-01-24T17:52:40Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T12:52:41-05:00
62,logging,2026-01-24T17:53:15Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T12:53:16-05:00
63,logging,2026-01-24T17:53:55Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T12:53:56-05:00
64,logging,2026-01-24T17:54:31Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T12:54:32-05:00
65,logging,2026-01-24T17:55:10Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T12:55:11-05:00
66,logging,2026-01-24T17:55:46Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T12:55:47-05:00
67,logging,2026-01-24T17:56:26Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T12:56:27-05:00
68,logging,2026-01-24T17:57:05Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T12:57:06-05:00
69,logging,2026-01-24T17:57:45Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T12:57:46-05:00
70,logging,2026-01-24T17:58:25Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T12:58:26-05:00
71,logging,2026-01-24T17:59:04Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T12:59:06-05:00
72,logging,2026-01-24T17:59:44Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T12:59:45-05:00
73,logging,2026-01-24T18:00:20Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:00:22-05:00
74,logging,2026-01-24T18:00:56Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:00:58-05:00
75,logging,2026-01-24T18:01:32Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:01:34-05:00
76,logging,2026-01-24T18:02:09Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:02:10-05:00
77,logging,2026-01-24T18:02:45Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:02:46-05:00
78,logging,2026-01-24T18:03:21Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:03:22-05:00
79,logging,2026-01-24T18:03:57Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:03:58-05:00
80,logging,2026-01-24T18:04:33Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:04:35-05:00
81,logging,2026-01-24T18:05:09Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:05:11-05:00
82,logging,2026-01-24T18:05:49Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:05:51-05:00
83,logging,2026-01-24T18:06:30Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:06:31-05:00
84,logging,2026-01-24T18:07:10Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:07:12-05:00
85,logging,2026-01-24T18:07:50Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:07:52-05:00
86,logging,2026-01-24T18:08:27Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:08:28-05:00
87,logging,2026-01-24T18:09:03Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:09:04-05:00
88,logging,2026-01-24T18:09:43Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:09:45-05:00
89,logging,2026-01-24T18:10:19Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:10:21-05:00
90,logging,2026-01-24T18:10:55Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:10:57-05:00
91,logging,2026-01-24T18:11:36Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:11:38-05:00
92,logging,2026-01-24T18:12:16Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:12:18-05:00
93,logging,2026-01-24T18:12:56Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:12:58-05:00
94,logging,2026-01-24T18:13:32Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:13:34-05:00
95,logging,2026-01-24T18:14:13Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:14:15-05:00
96,logging,2026-01-24T18:14:53Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:14:55-05:00
97,logging,2026-01-24T18:15:33Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:15:36-05:00
98,logging,2026-01-24T18:16:14Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:16:16-05:00
99,logging,2026-01-24T18:16:54Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:16:56-05:00
100,logging,2026-01-24T18:17:34Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:17:37-05:00
101,logging,2026-01-24T18:18:11Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:18:13-05:00
102,logging,2026-01-24T18:18:51Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:18:53-05:00
103,logging,2026-01-24T18:19:31Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:19:34-05:00
104,logging,2026-01-24T18:20:07Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:20:10-05:00
105,logging,2026-01-24T18:20:43Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:20:46-05:00
106,logging,2026-01-24T18:21:20Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:21:22-05:00
107,logging,2026-01-24T18:22:00Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:22:02-05:00
108,logging,2026-01-24T18:22:40Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:22:43-05:00
109,logging,2026-01-24T18:23:21Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:23:23-05:00
110,logging,2026-01-24T18:24:01Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:24:03-05:00
111,logging,2026-01-24T18:24:41Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:24:44-05:00
112,logging,2026-01-24T18:25:17Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:25:20-05:00
113,logging,2026-01-24T18:25:53Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:25:56-05:00
114,logging,2026-01-24T18:26:30Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:26:32-05:00
115,logging,2026-01-24T18:27:06Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:27:08-05:00
116,logging,2026-01-24T18:27:42Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:27:45-05:00
117,logging,2026-01-24T18:28:18Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:28:21-05:00
118,logging,2026-01-24T18:28:58Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:29:01-05:00
119,logging,2026-01-24T18:29:34Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:29:37-05:00
120,logging,2026-01-24T18:30:15Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:30:18-05:00
121,logging,2026-01-24T18:30:55Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:30:58-05:00
122,logging,2026-01-24T18:31:35Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:31:38-05:00
123,logging,2026-01-24T18:32:12Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:32:14-05:00
124,logging,2026-01-24T18:32:48Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:32:51-05:00
125,logging,2026-01-24T18:33:24Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:33:27-05:00
126,logging,2026-01-24T18:34:04Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:34:07-05:00
127,logging,2026-01-24T18:34:44Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:34:48-05:00
128,logging,2026-01-24T18:35:25Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:35:28-05:00
129,logging,2026-01-24T18:36:01Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:36:04-05:00
130,logging,2026-01-24T18:36:37Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:36:40-05:00
131,logging,2026-01-24T18:37:13Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:37:16-05:00
132,logging,2026-01-24T18:37:53Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:37:57-05:00
133,logging,2026-01-24T18:38:34Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:38:37-05:00
134,logging,2026-01-24T18:39:10Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:39:13-05:00
135,logging,2026-01-24T18:39:50Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:39:54-05:00
136,logging,2026-01-24T18:40:31Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:40:34-05:00
137,logging,2026-01-24T18:41:07Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:41:10-05:00
138,logging,2026-01-24T18:41:43Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:41:46-05:00
139,logging,2026-01-24T18:42:19Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:42:22-05:00
140,logging,2026-01-24T18:42:59Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:43:03-05:00
141,logging,2026-01-24T18:43:40Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:43:43-05:00
142,logging,2026-01-24T18:44:20Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:44:24-05:00
143,logging,2026-01-24T18:44:56Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:45:00-05:00
144,logging,2026-01-24T18:45:32Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:45:36-05:00
145,logging,2026-01-24T18:46:08Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:46:12-05:00
146,logging,2026-01-24T18:46:44Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:46:48-05:00
147,logging,2026-01-24T18:47:21Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:47:24-05:00
148,logging,2026-01-24T18:47:57Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:48:00-05:00
149,logging,2026-01-24T18:48:33Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:48:37-05:00
150,logging,2026-01-24T18:49:09Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:49:13-05:00
151,logging,2026-01-24T18:49:49Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:49:53-05:00
152,logging,2026-01-24T18:50:30Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:50:33-05:00
153,logging,2026-01-24T18:51:06Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:51:10-05:00
154,logging,2026-01-24T18:51:46Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:51:50-05:00
155,logging,2026-01-24T18:52:26Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:52:30-05:00
156,logging,2026-01-24T18:53:07Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:53:11-05:00
157,logging,2026-01-24T18:53:47Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:53:51-05:00
158,logging,2026-01-24T18:54:23Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:54:27-05:00
159,logging,2026-01-24T18:54:59Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:55:03-05:00
160,logging,2026-01-24T18:55:35Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:55:40-05:00
161,logging,2026-01-24T18:56:16Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:56:20-05:00
162,logging,2026-01-24T18:56:52Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:56:56-05:00
163,logging,2026-01-24T18:57:28Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:57:32-05:00
164,logging,2026-01-24T18:58:08Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:58:13-05:00
165,logging,2026-01-24T18:58:49Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:58:53-05:00
166,logging,2026-01-24T18:59:25Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T13:59:29-05:00
167,logging,2026-01-24T19:00:01Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:00:05-05:00
168,logging,2026-01-24T19:00:37Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:00:41-05:00
169,logging,2026-01-24T19:01:13Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:01:18-05:00
170,logging,2026-01-24T19:01:49Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:01:54-05:00
171,logging,2026-01-24T19:02:25Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:02:30-05:00
172,logging,2026-01-24T19:03:06Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:03:10-05:00
173,logging,2026-01-24T19:03:46Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:03:51-05:00
174,logging,2026-01-24T19:04:26Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:04:31-05:00
175,logging,2026-01-24T19:05:07Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:05:11-05:00
176,logging,2026-01-24T19:05:47Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:05:52-05:00
177,logging,2026-01-24T19:06:27Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:06:32-05:00
178,logging,2026-01-24T19:07:03Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:07:08-05:00
179,logging,2026-01-24T19:07:40Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:07:44-05:00
180,logging,2026-01-24T19:08:16Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:08:21-05:00
181,logging,2026-01-24T19:08:52Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:08:57-05:00
182,logging,2026-01-24T19:09:28Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:09:33-05:00
183,logging,2026-01-24T19:10:04Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:10:09-05:00
184,logging,2026-01-24T19:10:44Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:10:49-05:00
185,logging,2026-01-24T19:11:20Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:11:26-05:00
186,logging,2026-01-24T19:12:01Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:12:06-05:00
187,logging,2026-01-24T19:12:37Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:12:42-05:00
188,logging,2026-01-24T19:13:17Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:13:22-05:00
189,logging,2026-01-24T19:13:53Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:13:59-05:00
190,logging,2026-01-24T19:14:29Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:14:35-05:00
191,logging,2026-01-24T19:15:06Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:15:11-05:00
192,logging,2026-01-24T19:15:42Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:15:47-05:00
193,logging,2026-01-24T19:16:22Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:16:27-05:00
194,logging,2026-01-24T19:16:58Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:17:03-05:00
195,logging,2026-01-24T19:17:34Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:17:40-05:00
196,logging,2026-01-24T19:18:10Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:18:16-05:00
197,logging,2026-01-24T19:18:46Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:18:52-05:00
198,logging,2026-01-24T19:19:23Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:19:28-05:00
199,logging,2026-01-24T19:20:03Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:20:08-05:00
200,logging,2026-01-24T19:20:39Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:20:45-05:00
201,logging,2026-01-24T19:21:15Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:21:21-05:00
202,logging,2026-01-24T19:21:51Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:21:57-05:00
203,logging,2026-01-24T19:22:32Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:22:37-05:00
204,logging,2026-01-24T19:23:12Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:23:18-05:00
205,logging,2026-01-24T19:23:52Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:23:58-05:00
206,logging,2026-01-24T19:24:28Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:24:34-05:00
207,logging,2026-01-24T19:25:05Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:25:10-05:00
208,logging,2026-01-24T19:25:41Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:25:46-05:00
209,logging,2026-01-24T19:26:21Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:26:27-05:00
210,logging,2026-01-24T19:26:57Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:27:03-05:00
211,logging,2026-01-24T19:27:33Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:27:39-05:00
212,logging,2026-01-24T19:28:09Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:28:15-05:00
213,logging,2026-01-24T19:28:45Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:28:51-05:00
214,logging,2026-01-24T19:29:26Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:29:32-05:00
215,logging,2026-01-24T19:30:02Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:30:08-05:00
216,logging,2026-01-24T19:30:38Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:30:44-05:00
217,logging,2026-01-24T19:31:14Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:31:20-05:00
218,logging,2026-01-24T19:31:54Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:32:01-05:00
219,logging,2026-01-24T19:32:35Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:32:41-05:00
220,logging,2026-01-24T19:33:11Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:33:17-05:00
221,logging,2026-01-24T19:33:47Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:33:53-05:00
222,logging,2026-01-24T19:34:27Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:34:34-05:00
223,logging,2026-01-24T19:35:08Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:35:14-05:00
224,logging,2026-01-24T19:35:44Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:35:50-05:00
225,logging,2026-01-24T19:36:24Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:36:31-05:00
226,logging,2026-01-24T19:37:05Z,temperature,0,arduino-r4-wifi-5ED2C4,study,2026-01-24T14:37:11-05:00
